file,original,translation
"movements_translations_1.json","4) 2번 출구 외부 1호기 엘리베이터로 이동","4) 2번 출구 외부 1호기 elevator로 move"
"movements_translations_1.json","5) 외부 1호기 엘리베이터로 (1F) 지상 이동","5) 외부 1호기 elevator로 (1F) 지상 move"
"movements_translations_1.json","6) (1F) 지상에서 (2F) 경의중앙선 역사로 이동 (경의중앙선에서는 지상 대합실을 2층, 승강장을 1층으로 구분)","6) (1F) 지상at (2F) 경의Jungang선 역사로 move (경의Jungang선at는 지상 concourse을 2층, platform을 1층to 구분)"
"movements_translations_1.json","7) (2F) 경의중앙선 역사에서 승강장 엘리베이터 탑승","7) (2F) 경의Jungang선 역사at platform elevator board"
"movements_translations_1.json","8) (1F) 경의중앙선 신촌 방면 승강장으로 이동","8) (1F) 경의Jungang선 Sinchon  direction platformto move"
"movements_translations_1.json","4) 1번 출구 방면 엘리베이터 탑승 지상 2층 이동","4) 1번 출구  direction elevator board 2F move"
"movements_translations_1.json","5) KTX 기차역 대합실 이동","5) KTX 기차역 concourse move"
"movements_translations_1.json","6) 기차역 서부역 방면 ③번 출구 이동","6) 기차역 서부역  direction ③번 출구 move"
"movements_translations_1.json","7) 공항철도 엘리베이터 탑승","7) 공항철도 elevator board"
"movements_translations_1.json","8) 공항철도 대합실로 이동","8) 공항철도 concourse로 move"
"movements_translations_1.json","9) (B3) 공항철도 대합실로 이동","9) (B3) 공항철도 concourse로 move"
"movements_translations_1.json","10) 공항철도 공덕 방면 엘리베이터 탑승","10) 공항철도 공덕  direction elevator board"
"movements_translations_1.json","11) (B7) 공항철도 공덕 방면 승강장으로 이동","11) (B7) 공항철도 공덕  direction platformto move"
"movements_translations_1.json","1) 9번 출입구 근처 엘리베이터로 이동","1) 9번 exit near elevator로 move"
"movements_translations_1.json","3) 11번 출입구 근처 개집표기 통과","3) 11번 exit near 개집표기 pass through"
"movements_translations_1.json","4) 엘리베이터 이용","4) elevator 이용"
"movements_translations_1.json","4) 환승통로 이동","4) 환승통로 move"
"movements_translations_1.json","7) 개집표기 통과 후 엘리베이터 이용","7) Pass through the fare gate 후 elevator 이용"
"movements_translations_1.json","3) 시청 방면 엘리베이터 앞 표 내는 곳 통과","3) City Hall  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 을지로3가 방면 엘리베이터 앞 표 내는 곳 통과","3) Euljiro 3-ga  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 2호선 대합실로 이동","3) 2Line  concourse로 move"
"movements_translations_1.json","4) 을지로입구 방면 엘리베이터 앞 표 내는 곳 통과","4) Euljiro 1-ga  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","4) 을지로4가 방면 엘리베이터 앞 표 내는 곳 통과","4) Euljiro 4-ga  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 을지로입구 방면 엘리베이터 앞 표 내는 곳 통과","3) Euljiro 1-ga  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 을지로4가 방면 엘리베이터 앞 표 내는 곳 통과","3) Euljiro 4-ga  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","4) 3호선 대합실로 이동","4) 3Line  concourse로 move"
"movements_translations_1.json","6) (B3) 3호선 충무로 방면 승강장으로 이동","6) (B3) Move to Line 3 충무로-bound platform"
"movements_translations_1.json","2) 3호선 연결통로로 이동","2) 3Line  연결통로로 move"
"movements_translations_1.json","4) (B3) 3호선 충무로 방면 승강장으로 이동","4) (B3) Move to Line 3 충무로-bound platform"
"movements_translations_1.json","2) 지하1층 대합실 하차 후 을지로3가방면 표 내는 곳 옆 엘리베이터 탑승","2) B1 concourse exit 후 Euljiro 3-ga direction 표 내는 곳 near elevator board"
"movements_translations_1.json","3) 동대문역사문화공원 방면 엘리베이터 앞 표 내는 곳 통과","3) Dongdaemun History & Culture Park  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","1) 10번출구 엘리베이터 탑승","1) 10번출구 elevator board"
"movements_translations_1.json","2) 지하1층 대합실 하차 후 을지로3가 방면 표 내는 곳 통과 후 엘리베이터 탑승","2) B1 concourse exit 후 Euljiro 3-ga  direction 표 내는 곳 pass through 후 elevator board"
"movements_translations_1.json","2)  지하1층 대합실 하차 후 동대문역사문화공원 방면 표 내는 곳 통과 후 엘리베이터 탑승","2)  B1 concourse exit 후 Dongdaemun History & Culture Park  direction 표 내는 곳 pass through 후 elevator board"
"movements_translations_1.json","1)  7-4 승강장 앞 엘리베이터 탑승","1)  7-4 platform 앞 elevator board"
"movements_translations_1.json","3) 3) 종로3가 방면 승차 (휠체어칸)","3) 3) Jongno 3-ga  direction board (휠체어칸)"
"movements_translations_1.json","3) 동대문역사문화공원 방면 승차 (휠체어칸)","3) Dongdaemun History & Culture Park  direction board (휠체어칸)"
"movements_translations_1.json","2) 지하1층 대합실 하차후 오른쪽으로 90M 이동","2) B1 concourse exit후 오른쪽to 90M move"
"movements_translations_1.json","3) 을지로3가방면 표 내는 곳 옆의 엘리베이터 탑승","3) Euljiro 3-ga direction 표 내는 곳 near의 elevator board"
"movements_translations_1.json","5) 종로3가 방면 승차 (휠체어칸)","5) Jongno 3-ga  direction board (휠체어칸)"
"movements_translations_1.json","5) 동대문역사문화공원 방면 승차 (휠체어칸)","5) Dongdaemun History & Culture Park  direction board (휠체어칸)"
"movements_translations_1.json","4) 4호선 대합실로 이동","4) 4Line  concourse로 move"
"movements_translations_1.json","6) (B3) 4호선 충무로 방면 승강장으로 이동","6) (B3) Move to Line 4 충무로-bound platform"
"movements_translations_1.json","8) (B5) 5호선 청구 방면 승강장으로 이동","8) (B5) Move to Line 5 청구-bound platform"
"movements_translations_1.json","3) 상왕십리 방면 엘리베이터 앞 표 내는 곳 통과","3) Sangwangsimni  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","2) 환승통로 방향 휠체어리프트 탑승","2) Take the wheelchair lift toward 환승통로"
"movements_translations_1.json","7) (B3) 6호선 청구 방면 승강장으로 이동","7) (B3) Move to Line 6 청구-bound platform"
"movements_translations_1.json","1) (1F) 1-1번 출입구 옆 엘리베이터 탑승","1) (1F) 1-1번 exit near elevator board"
"movements_translations_1.json","3) 신당 방면 엘리베이터 앞 표 내는 곳 통과","3) Sindang  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 왕십리 방면 엘리베이터 앞 표 내는 곳 통과","3) Wangsimni  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 6번 출입구 방향 표 내는 곳 통과","3) 6번 exit direction 표 내는 곳 pass through"
"movements_translations_1.json","1) (1F) 6-1번 출입구 옆 엘리베이터 탑승","1) (1F) 6-1번 exit near elevator board"
"movements_translations_1.json","2) 환승대합실로 이동","2) 환승concourse로 move"
"movements_translations_1.json","5) 5호선 행당 방면 엘리베이터 탑승","5) Take the elevator to Line 5 행당 direction"
"movements_translations_1.json","6) (B5) 5호선 행당 방면 승강장으로 이동","6) (B5) Move to Line 5 행당-bound platform"
"movements_translations_1.json","5) 5호선 마장 방면 엘리베이터 탑승","5) Take the elevator to Line 5 마장 direction"
"movements_translations_1.json","6) (B5) 5호선 마장 방면 승강장으로 이동","6) (B5) Move to Line 5 마장-bound platform"
"movements_translations_1.json","2) 환승대합실 방향 엘리베이터 탑승","2) 환승concourse direction elevator board"
"movements_translations_1.json","3) (B1) 환승대합실로 이동","3) (B1) 환승concourse로 move"
"movements_translations_1.json","5) (B2) 환승대합실로 이동","5) (B2) 환승concourse로 move"
"movements_translations_1.json","8) 5호선 행당 방면 엘리베이터 탑승","8) Take the elevator to Line 5 행당 direction"
"movements_translations_1.json","9) (B5) 5호선 행당 방면 승강장으로 이동","9) (B5) Move to Line 5 행당-bound platform"
"movements_translations_1.json","8) 5호선 마장 방면 엘리베이터 탑승","8) Take the elevator to Line 5 마장 direction"
"movements_translations_1.json","9) (B5) 5호선 마장 방면 승강장으로 이동","9) (B5) Move to Line 5 마장-bound platform"
"movements_translations_1.json","4) 수인분당선 승강장 방향 엘리베이터 탑승","4) 수인분당선 platform direction elevator board"
"movements_translations_1.json","5) (1F) 수인분당선 청량리 방면 승강장으로 이동","5) (1F) 수인분당선 Cheongnyangni  direction platformto move"
"movements_translations_1.json","5) (1F) 수인분당선 서울숲 방면 승강장으로 이동","5) (1F) 수인분당선 서울숲  direction platformto move"
"movements_translations_1.json","4) 경의중앙선 승강장 방향 엘리베이터 탑승","4) 경의Jungang선 platform direction elevator board"
"movements_translations_1.json","5) (1F) 경의중앙선 응봉 방면 승강장으로 이동","5) (1F) 경의Jungang선 응봉  direction platformto move"
"movements_translations_1.json","5) (1F) 경의중앙선 청량리 방면 승강장으로 이동","5) (1F) 경의Jungang선 Cheongnyangni  direction platformto move"
"movements_translations_1.json","3) 뚝섬 방면 엘리베이터 앞 표 내는 곳 통과","3) Ttukseom  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 한양대 방면 엘리베이터 앞 표 내는 곳 통과","3) Hanyang Univ.  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 성수 방면 엘리베이터 앞 표 내는 곳 통과","3) Seongsu  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 건대입구 방면 엘리베이터 앞 표 내는 곳 통과","3) Konkuk Univ.  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","2) 2호선 용답 방면 승강장으로 이동","2) 2Line  용답  direction platformto move"
"movements_translations_1.json","4) 2호선 용답 방면 엘리베이터 탑승","4) Take the elevator to Line 2 용답 direction"
"movements_translations_1.json","5) (3F) 2호선 용답 방면 승강장으로 이동","5) (3F) Move to Line 2 용답-bound platform"
"movements_translations_1.json","1) (3F) 2호선 용답 방면 승강장 하차","1) (3F) Exit at Line 2 용답-bound platform"
"movements_translations_1.json","4) (3F) 표 내는 곳 통과 후 구의 방면 승강장으로 이동","4) (3F) 표 내는 곳 pass through 후 Guui  direction platformto move"
"movements_translations_1.json","1) 1번 출입구 근처 엘리베이터 이용 지상2층 이동","1) 1번 exit near elevator 이용 2F move"
"movements_translations_1.json","2) 개집표기 통과 후 고객안내센터 맞은편 성수방면 엘리베이터 탑승","2) Pass through the fare gate 후 고객안내센터 맞은편 Seongsu direction elevator board"
"movements_translations_1.json","2) (3F) 표 내는 곳 통과 후 구의 방면 승강장 이동","2) (3F) 표 내는 곳 pass through 후 Guui  direction platform move"
"movements_translations_1.json","1) 6번 출입구 근처 엘리베이터 이용 지상2층 이동","1) 6번 exit near elevator 이용 2F move"
"movements_translations_1.json","2) 표 내는 곳 통과 후 2호선 대합실 방향 엘리베이터 탑승","2) Pass through the ticket gate 후 2Line  concourse direction elevator board"
"movements_translations_1.json","3) (1F) 3번 출입구 옆 엘리베이터 로 이동","3) (1F) 3번 exit near elevator 로 move"
"movements_translations_1.json","4) 3번 출입구 옆 엘리베이터 탑승","4) 3번 exit near elevator board"
"movements_translations_1.json","5) (B2)  표 내는 곳 통과 후 7호선 어린이 대공원 방면 승강장 이동","5) (B2) Pass through the ticket gate 후 7Line  어린이 Grand Park  direction platform move"
"movements_translations_1.json","1) 승강장 엘리베이터 탑승 후 지상2층으로 이동","1) platform elevator board 후 2Fto move"
"movements_translations_1.json","2) 개집표기 통과 후 1번출입구 앞 엘리베이터 탑승","2) Pass through the fare gate 후 1번exit 앞 elevator board"
"movements_translations_1.json","4) 3번출입구 옆 엘리베이터 이용","4) 3번exit near elevator 이용"
"movements_translations_1.json","6) 어린이대공원 방면 승강장 방향으로 이동","6) 어린Ewha Womans Univ.공원  direction platform directionto move"
"movements_translations_1.json","7) 어린이대공원 방면 승강장 이용","7) 어린Ewha Womans Univ.공원  direction platform 이용"
"movements_translations_1.json","5) (B2)  표 내는 곳 통과 후 7호선 어린이대공원 방면 엘리베이터 로 이동","5) (B2) Pass through the ticket gate 후 7Line  어린Ewha Womans Univ.공원  direction elevator 로 move"
"movements_translations_1.json","6)  7호선 어린이대공원 방면 엘리베이터 탑승","6)  7Line  어린Ewha Womans Univ.공원  direction elevator board"
"movements_translations_1.json","7) (B3) 7호선 자양 방면 승강장 엘리베이터 이동","7) (B3) 7Line  자양  direction platform elevator move"
"movements_translations_1.json","8) 7호선 자양 방면 엘리베이터 탑승","8) Take the elevator to Line 7 자양 direction"
"movements_translations_1.json","9) (B2) 7호선 자양 방면 승강장 이동","9) (B2) 7Line  자양  direction platform move"
"movements_translations_1.json","10) 탑승(휠체어칸)","10) board(휠체어칸)"
"movements_translations_1.json","3) (2F) 표 내는 곳 통과 후 1번 출입구 앞 엘리베이터 이동","3) (2F) 표 내는 곳 pass through 후 1번 exit 앞 elevator move"
"movements_translations_1.json","4) 1번 출입구 옆 엘리베이터 탑승","4) 1번 exit near elevator board"
"movements_translations_1.json","5) 3번 출입구 옆 엘리베이터 이동","5) 3번 exit near elevator move"
"movements_translations_1.json","6) 3번 출입구 옆 엘레이터 탑승","6) 3번 exit near 엘레이터 board"
"movements_translations_1.json","7) (B2)  표 내는 곳 통과 후 7호선 어린이대공원 방면 엘리베이터 로 이동","7) (B2) Pass through the ticket gate 후 7Line  어린Ewha Womans Univ.공원  direction elevator 로 move"
"movements_translations_1.json","8) 7호선 어린이대공원 방면 엘리베이터 탑승","8) 7Line  어린Ewha Womans Univ.공원  direction elevator board"
"movements_translations_1.json","9) (B3) 7호선 자양 방면 승강장 엘리베이터 이동","9) (B3) 7Line  자양  direction platform elevator move"
"movements_translations_1.json","10) 7호선 자양 방면 엘리베이터 탑승","10) Take the elevator to Line 7 자양 direction"
"movements_translations_1.json","11) (B2) 7호선 자양 방면 승강장 이동","11) (B2) 7Line  자양  direction platform move"
"movements_translations_1.json","12) 탑승(휠체어칸)","12) board(휠체어칸)"
"movements_translations_1.json","3) 엘리베이터 앞 표 내는 곳 통과","3) elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","1) (1F) 1번 출입구 대합실로 이동","1) (1F) 1번 exit concourse로 move"
"movements_translations_1.json","3) 잠실나루 방면 엘리베이터 탑승","3) Take the elevator to Jamsil나루 direction"
"movements_translations_1.json","4) (2F) 잠실나루 방면 승강장으로 이동","4) (2F) Move to the Jamsil나루-bound platform"
"movements_translations_1.json","2) 1번/4번 출입구 방향 표 내는 곳 통과","2) 1번/4번 exit direction 표 내는 곳 pass through"
"movements_translations_1.json","1) (1F) 3번 출입구 대합실로 이동","1) (1F) 3번 exit concourse로 move"
"movements_translations_1.json","1) (1F) 4번 출입구 대합실로 이동","1) (1F) 4번 exit concourse로 move"
"movements_translations_1.json","3) 잠실나루 방면 엘리베이터 앞 표 내는 곳 통과","3) Jamsil나루  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","4) 잠실나루 방면 엘리베이터 탑승","4) Take the elevator to Jamsil나루 direction"
"movements_translations_1.json","5) (B2) 잠실나루 방면 승강장으로 이동","5) (B2) Move to the Jamsil나루-bound platform"
"movements_translations_1.json","3) 잠실새내 방면 엘리베이터 앞 표 내는 곳 통과","3) Jamsil새내  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","4) 잠실새내 방면 엘리베이터 탑승","4) Take the elevator to Jamsil새내 direction"
"movements_translations_1.json","5) (B2) 잠실새내 방면 승강장으로 이동","5) (B2) Move to the Jamsil새내-bound platform"
"movements_translations_1.json","1) (B2) 2호선 잠실나루 방면 승강장 하차","1) (B2) Exit at Line 2 Jamsil나루-bound platform"
"movements_translations_1.json","4) 8호선 대합실로 이동","4) 8Line  concourse로 move"
"movements_translations_1.json","5) 8호선 몽촌토성 방면 엘리베이터 탑승","5) Take the elevator to Line 8 몽촌토성 direction"
"movements_translations_1.json","6) (B3) 8호선 몽촌토성 방면 승강장으로 이동","6) (B3) Move to Line 8 몽촌토성-bound platform"
"movements_translations_1.json","1) (B2) 2호선 잠실새내 방면 승강장 하차","1) (B2) Exit at Line 2 Jamsil새내-bound platform"
"movements_translations_1.json","3) 잠실 방면 엘리베이터 앞 표 내는 곳 통과","3) Jamsil  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 종합운동장 방면 엘리베이터 앞 표 내는 곳 통과","3) Sports Complex  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","7) 9호선 봉은사 방면 엘리베이터 탑승","7) Take the elevator to Line 9 봉은사 direction"
"movements_translations_1.json","8) (B4) 9호선 봉은사 방면 승강장으로 이동","8) (B4) Move to Line 9 봉은사-bound platform"
"movements_translations_1.json","2) (B1) 이동통로로 이동","2) (B1) move통로로 move"
"movements_translations_1.json","3) 대합실로 이동","3) concourse로 move"
"movements_translations_1.json","3) 삼성 방면 엘리베이터 앞 표 내는 곳 통과","3) Samsung  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 5번 출입구 방향 역삼 방면 엘리베이터 앞 표 내는 곳 통과","3) 5번 exit direction Yeoksam  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 선릉역약국 옆 삼성 방면 표 내는 곳 통과","3) Seolleung역약국 near Samsung  direction 표 내는 곳 pass through"
"movements_translations_1.json","3) 역삼 방면 엘리베이터 앞 표 내는 곳 통과","3) Yeoksam  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 1번 출입구 방향 삼성 방면 엘리베이터 앞 표 내는 곳 통과","3) 1번 exit direction Samsung  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","2) 수인분당선 선정릉 방면 엘리베이터 탑승 ","2) 수인분당선 선정릉  direction elevator board "
"movements_translations_1.json","3) (B3) 수인분당선 선정릉 방면 승강장으로 이동 ","3) (B3) 수인분당선 선정릉  direction platformto move "
"movements_translations_1.json","2) 수인분당선 한티 방면 엘리베이터 탑승 ","2) 수인분당선 한티  direction elevator board "
"movements_translations_1.json","3) (B3) 수인분당선 한티 방면 승강장으로 이동","3) (B3) 수인분당선 한티  direction platformto move"
"movements_translations_1.json","3) (B3) 수인분당선 선정릉 방면 승강장으로 이동","3) (B3) 수인분당선 선정릉  direction platformto move"
"movements_translations_1.json","3) 선릉 방면 엘리베이터 앞 표 내는 곳 통과","3) Seolleung  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 강남 방면 엘리베이터 앞 표 내는 곳 통과","3) Gangnam  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","2) 환승 엘리베이터 탑승","2) 환승 elevator board"
"movements_translations_1.json","4) 신분당선 대합실로 이동","4) 신분당선 concourse로 move"
"movements_translations_1.json","5) 신분당선 신논현 방면 엘리베이터 탑승","5) 신분당선 신논현  direction elevator board"
"movements_translations_1.json","6) (B4) 신분당선 신논현 방면 승강장으로 이동","6) (B4) 신분당선 신논현  direction platformto move"
"movements_translations_1.json","5) 신분당선 양재 방면 엘리베이터 탑승","5) 신분당선 양재  direction elevator board"
"movements_translations_1.json","6) (B4) 신분당선 양재 방면 승강장으로 이동","6) (B4) 신분당선 양재  direction platformto move"
"movements_translations_1.json","3) 서초 방면 엘리베이터 앞 표 내는 곳 통과","3) Seocho  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 2호선 대합실 방향 휠체어리프트 탑승","3) 2Line  concourse direction 휠체어리프트 board"
"movements_translations_1.json","5) 강남 방면 엘리베이터 앞 표 내는 곳 통과","5) Gangnam  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","5) 서초 방면 엘리베이터 앞 표 내는 곳 통과","5) Seocho  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","4) 3호선 대합실 방향 휠체어리프트 탑승","4) 3Line  concourse direction 휠체어리프트 board"
"movements_translations_1.json","7) (B3) 3호선 남부터미널 방면 승강장으로 이동","7) (B3) Move to Line 3 남부터미널-bound platform"
"movements_translations_1.json","3) 교대 방면 엘리베이터 앞 표 내는 곳 통과","3) Gyodae  direction elevator 앞 표 내는 곳 pass through"
"movements_translations_1.json","3) 방배 방면 엘리베이터 앞 표 내는 곳 통과","3) Bangbae  direction elevator 앞 표 내는 곳 pass through"
