Category,Icon,Location,Refined_KR,Refined_EN,Original
Subway Activity,🚉,B2,하차 (2호선 동대문사문화공원 방면 승강장),Alight (2Line  동대문사문화공원 Bound for 승강장),(B2) 2호선 동대문역사문화공원 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 문래 방면 승강장),Alight (2Line  문래 Bound for 승강장),(B2) 2호선 문래 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 상왕십리 방면 승강장),Alight (2Line  상왕십리 Bound for 승강장),(B2) 2호선 상왕십리 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 신당 방면 승강장),Alight (2Line  신당 Bound for 승강장),(B2) 2호선 신당 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 신대방 방면 승강장),Alight (2Line  신대방 Bound for 승강장),(B2) 2호선 신대방 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 을지로4가 방면 승강장),Alight (2Line  을지로4가 Bound for 승강장),(B2) 2호선 을지로4가 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 을지로입구 방면 승강장),Alight (2Line  을지로입구 Bound for 승강장),(B2) 2호선 을지로입구 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 잠실나루 방면 승강장),Alight (2Line  잠실나루 Bound for 승강장),(B2) 2호선 잠실나루 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 잠실새내 방면 승강장),Alight (2Line  잠실새내 Bound for 승강장),(B2) 2호선 잠실새내 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 지선 신도림 (종착) 승강장),Alight (2Line  지선 신도림 (종착) 승강장),(B2) 2호선 지선 신도림 (종착역) 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 한양대 방면 승강장),Alight (2Line  한양대 Bound for 승강장),(B2) 2호선 한양대 방면 승강장 하차
Subway Activity,🚉,B2,하차 (3호선 금호 방면 승강장),Alight (3Line  금호 Bound for 승강장),(B2) 3호선 금호 방면 승강장 하차
Subway Activity,🚉,B2,하차 (3호선 남부터미널 방면 승강장),Alight (3Line  남부터미널 Bound for 승강장),(B2) 3호선 남부터미널 방면 승강장 하차
Subway Activity,🚉,B2,하차 (3호선 녹번 방면 승강장),Alight (3Line  녹번 Bound for 승강장),(B2) 3호선 녹번 방면 승강장 하차
Subway Activity,🚉,B2,하차 (3호선 동대입구 방면 승강장),Alight (3Line  동대입구 Bound for 승강장),(B2) 3호선 동대입구 방면 승강장 하차
Subway Activity,🚉,B2,하차 (3호선 매봉 방면 승강장),Alight (3Line  매봉 Bound for 승강장),(B2) 3호선 매봉 방면 승강장 하차
Subway Activity,🚉,B2,하차 (3호선 압구정 방면 승강장),Alight (3Line  압구정 Bound for 승강장),(B2) 3호선 압구정 방면 승강장 하차
Subway Activity,🚉,B2,하차 (3호선 연신내 방면 승강장),Alight (3Line  연신내 Bound for 승강장),(B2) 3호선 연신내 방면 승강장 하차
Subway Activity,🚉,B2,하차 (3호선 잠원 방면 승강장),Alight (3Line  잠원 Bound for 승강장),(B2) 3호선 잠원 방면 승강장 하차
Subway Activity,🚉,B2,하차 (4호선 길음 방면 승강장),Alight (4Line  길음 Bound for 승강장),(B2) 4호선 길음 방면 승강장 하차
Subway Activity,🚉,B2,하차 (4호선 동작 방면 승강장),Alight (4Line  동작 Bound for 승강장),(B2) 4호선 동작 방면 승강장 하차
Subway Activity,🚉,B2,하차 (4호선 사당 방면 승강장),Alight (4Line  사당 Bound for 승강장),(B2) 4호선 사당 방면 승강장 하차
Subway Activity,🚉,B2,하차 (4호선 숙대입구 방면 승강장),Alight (4Line  숙대입구 Bound for 승강장),(B2) 4호선 숙대입구 방면 승강장 하차
Subway Activity,🚉,B2,하차 (4호선 신용산 방면 승강장),Alight (4Line  신용산 Bound for 승강장),(B2) 4호선 신용산 방면 승강장 하차
Subway Activity,🚉,B2,하차 (4호선 한성대입구 방면 승강장),Alight (4Line  한성대입구 Bound for 승강장),(B2) 4호선 한성대입구 방면 승강장 하차
Subway Activity,🚉,B2,하차 (4호선 회현 방면 승강장),Alight (4Line  회현 Bound for 승강장),(B2) 4호선 회현 방면 승강장 하차
Subway Activity,🚉,B2,하차 (5호선 개롱 방면 승강장),Alight (5Line  개롱 Bound for 승강장),(B2) 5호선 개롱 방면 승강장 하차
Subway Activity,🚉,B2,하차 (5호선 둔촌동 방면 승강장),Alight (5Line  둔촌동 Bound for 승강장),(B2) 5호선 둔촌동 방면 승강장 하차
Subway Activity,🚉,B2,하차 (5호선 방이 방면 승강장),Alight (5Line  방이 Bound for 승강장),(B2) 5호선 방이 방면 승강장 하차
Subway Activity,🚉,B2,하차 (5호선 아차산 방면 승강장),Alight (5Line  아차산 Bound for 승강장),(B2) 5호선 아차산 방면 승강장 하차
Subway Activity,🚉,B2,하차 (5호선 장한평 방면 승강장),Alight (5Line  장한평 Bound for 승강장),(B2) 5호선 장한평 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 대흥 방면 승강장),Alight (6Line  대흥 Bound for 승강장),(B2) 6호선 대흥 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 동묘앞 방면 승강장),Alight (6Line  동묘앞 Bound for 승강장),(B2) 6호선 동묘앞 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 석계 방면 승강장),Alight (6Line  석계 Bound for 승강장),(B2) 6호선 석계 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 신당 방면 승강장),Alight (6Line  신당 Bound for 승강장),(B2) 6호선 신당 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 약수 방면 승강장),Alight (6Line  약수 Bound for 승강장),(B2) 6호선 약수 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 월드컵경기장 방면 승강장),Alight (6Line  월드컵경기장 Bound for 승강장),(B2) 6호선 월드컵경기장 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 증산 방면 승강장),Alight (6Line  증산 Bound for 승강장),(B2) 6호선 증산 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 창신 방면 승강장),Alight (6Line  창신 Bound for 승강장),(B2) 6호선 창신 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 청구 방면 승강장),Alight (6Line  청구 Bound for 승강장),(B2) 6호선 청구 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 화랑대 방면 승강장),Alight (6Line  화랑대 Bound for 승강장),(B2) 6호선 화랑대 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 효창공원앞 방면 승강장),Alight (6Line  효창공원앞 Bound for 승강장),(B2) 6호선 효창공원앞 방면 승강장 하차
Subway Activity,🚉,B2,하차 (7호선 남구로 방면 승강장),Alight (7Line  남구로 Bound for 승강장),(B2) 7호선 남구로 방면 승강장 하차
Subway Activity,🚉,B2,하차 (7호선 신대방삼거리 방면 승강장),Alight (7Line  신대방삼거리 Bound for 승강장),(B2) 7호선 신대방삼거리 방면 승강장 하차
Subway Activity,🚉,B2,하차 (7호선 신풍 방면 승강장),Alight (7Line  신풍 Bound for 승강장),(B2) 7호선 신풍 방면 승강장 하차
Subway Activity,🚉,B2,하차 (7호선 어린이대공원 방면 승강장),Alight (7Line  어린이대공원 Bound for 승강장),(B2) 7호선 어린이대공원 방면 승강장 하차
Subway Activity,🚉,B2,하차 (7호선 자양 방면 승강장),Alight (7Line  자양 Bound for 승강장),(B2) 7호선 자양 방면 승강장 하차
Subway Activity,🚉,B2,하차 (6호선 증산 방면 승강장),Alight (6Line  증산 Bound for 승강장),(B2)6호선 증산 방면 승강장 하차
Subway Activity,🚉,B3,하차 (3호선 고속터미널 방면 승강장),Alight (3Line  고속터미널 Bound for 승강장),(B3) 3호선 고속터미널 방면 승강장 하차
Subway Activity,🚉,B3,하차 (3호선 교대 방면 승강장),Alight (3Line  교대 Bound for 승강장),(B3) 3호선 교대 방면 승강장 하차
Subway Activity,🚉,B3,하차 (3호선 남부터미널 방면 승강장),Alight (3Line  남부터미널 Bound for 승강장),(B3) 3호선 남부터미널 방면 승강장 하차
Subway Activity,🚉,B3,하차 (3호선 잠원 방면 승강장),Alight (3Line  잠원 Bound for 승강장),(B3) 3호선 잠원 방면 승강장 하차
Subway Activity,🚉,B3,하차 (3호선 종로3가 방면 승강장),Alight (3Line  종로3가 Bound for 승강장),(B3) 3호선 종로3가 방면 승강장 하차
Subway Activity,🚉,B3,하차 (3호선 충무로 방면 승강장),Alight (3Line  충무로 Bound for 승강장),(B3) 3호선 충무로 방면 승강장 하차
Subway Activity,🚉,B3,하차 (4호선 남태령 방면 승강장),Alight (4Line  남태령 Bound for 승강장),(B3) 4호선 남태령 방면 승강장 하차
Subway Activity,🚉,B3,하차 (4호선 동대문 방면 승강장),Alight (4Line  동대문 Bound for 승강장),(B3) 4호선 동대문 방면 승강장 하차
Subway Activity,🚉,B3,하차 (4호선 동대문사문화공원 방면 승강장),Alight (4Line  동대문사문화공원 Bound for 승강장),(B3) 4호선 동대문역사문화공원 방면 승강장 하차
Subway Activity,🚉,B3,하차 (4호선 명동 방면 승강장),Alight (4Line  명동 Bound for 승강장),(B3) 4호선 명동 방면 승강장 하차
Subway Activity,🚉,B3,하차 (4호선 총신대입구 방면 승강장),Alight (4Line  총신대입구 Bound for 승강장),(B3) 4호선 총신대입구 방면 승강장 하차
Subway Activity,🚉,B3,하차 (4호선 충무로 방면 승강장),Alight (4Line  충무로 Bound for 승강장),(B3) 4호선 충무로 방면 승강장 하차
Subway Activity,🚉,B3,하차 (5호선 강동 방면 승강장),Alight (5Line  강동 Bound for 승강장),(B3) 5호선 강동 방면 승강장 하차
Subway Activity,🚉,B3,하차 (5호선 개화산 방면 승강장),Alight (5Line  개화산 Bound for 승강장),(B3) 5호선 개화산 방면 승강장 하차
Subway Activity,🚉,B3,하차 (5호선 광나루 방면 승강장),Alight (5Line  광나루 Bound for 승강장),(B3) 5호선 광나루 방면 승강장 하차
Subway Activity,🚉,B3,하차 (5호선 송정 방면 승강장),Alight (5Line  송정 Bound for 승강장),(B3) 5호선 송정 방면 승강장 하차
Subway Activity,🚉,B3,하차 (5호선 송정방면 승강장),Alight (5Line  송정Bound for 승강장),(B3) 5호선 송정방면 승강장 하차
Subway Activity,🚉,B3,하차 (6호선 공덕 방면 승강장),Alight (6Line  공덕 Bound for 승강장),(B3) 6호선 공덕 방면 승강장 하차
Subway Activity,🚉,B3,하차 (6호선 돌곶이 방면 승강장),Alight (6Line  돌곶이 Bound for 승강장),(B3) 6호선 돌곶이 방면 승강장 하차
Subway Activity,🚉,B3,하차 (6호선 버티고개 방면 승강장),Alight (6Line  버티고개 Bound for 승강장),(B3) 6호선 버티고개 방면 승강장 하차
Subway Activity,🚉,B3,하차 (6호선 삼각지 방면 승강장),Alight (6Line  삼각지 Bound for 승강장),(B3) 6호선 삼각지 방면 승강장 하차
Subway Activity,🚉,B3,하차 (6호선 안암 방면 승강장),Alight (6Line  안암 Bound for 승강장),(B3) 6호선 안암 방면 승강장 하차
Subway Activity,🚉,B3,하차 (6호선 창신 방면 승강장),Alight (6Line  창신 Bound for 승강장),(B3) 6호선 창신 방면 승강장 하차
Subway Activity,🚉,B3,하차 (6호선 청구 방면 승강장),Alight (6Line  청구 Bound for 승강장),(B3) 6호선 청구 방면 승강장 하차
Subway Activity,🚉,B3,하차 (6호선 태릉입구 방면 승강장),Alight (6Line  태릉입구 Bound for 승강장),(B3) 6호선 태릉입구 방면 승강장 하차
Subway Activity,🚉,B3,하차 (7호선 내방 방면 승강장),Alight (7Line  내방 Bound for 승강장),(B3) 7호선 내방 방면 승강장 하차
Subway Activity,🚉,B3,하차 (7호선 반포 방면 승강장),Alight (7Line  반포 Bound for 승강장),(B3) 7호선 반포 방면 승강장 하차
Subway Activity,🚉,B3,하차 (7호선 청담 방면 승강장),Alight (7Line  청담 Bound for 승강장),(B3) 7호선 청담 방면 승강장 하차
Subway Activity,🚉,B3,하차 (7호선 학동 방면 승강장),Alight (7Line  학동 Bound for 승강장),(B3) 7호선 학동 방면 승강장 하차
Subway Activity,🚉,B3,하차 (7호선 학동방면 승강장),Alight (7Line  학동Bound for 승강장),(B3) 7호선 학동방면 승강장 하차
Subway Activity,🚉,B3,하차 (8호선 모란(종착) 승강장),Alight (8Line  모란(종착) 승강장),(B3) 8호선 모란(종착역)  승강장 하차
Subway Activity,🚉,B3,하차 (8호선 수진 방면 승강장),Alight (8Line  수진 Bound for 승강장),(B3) 8호선 수진 방면 승강장 하차
Subway Activity,🚉,B3,하차 (개화산방면 승강장),Alight (개화산Bound for 승강장),(B3) 개화산방면 승강장 하차
Subway Activity,🚉,B3,하차 (공항철도 김포공항 방면 승강장),Alight (공항철도 김포공항 Bound for 승강장),(B3) 공항철도 김포공항 방면 승강장 하차
Subway Activity,🚉,B3,하차 (공항철도 디지털미디어시티 방면 승강장),Alight (공항철도 디지털미디어시티 Bound for 승강장),(B3) 공항철도 디지털미디어시티 방면 승강장 하차
Subway Activity,🚉,B3,하차 (공항철도 마곡나루 방면 승강장),Alight (공항철도 마곡나루 Bound for 승강장),(B3) 공항철도 마곡나루 방면 승강장 하차
Subway Activity,🚉,B3,하차 (공항철도 홍대입구 방면 승강장),Alight (공항철도 홍대입구 Bound for 승강장),(B3) 공항철도 홍대입구 방면 승강장 하차
Subway Activity,🚉,B4,하차 (3호선 대치 방면 승강장),Alight (3Line  대치 Bound for 승강장),(B4) 3호선 대치 방면 승강장 하차
Subway Activity,🚉,B4,하차 (3호선 동대입구 방면 승강장),Alight (3Line  동대입구 Bound for 승강장),(B4) 3호선 동대입구 방면 승강장 하차
Subway Activity,🚉,B4,하차 (3호선 매봉 방면 승강장),Alight (3Line  매봉 Bound for 승강장),(B4) 3호선 매봉 방면 승강장 하차
Subway Activity,🚉,B4,하차 (3호선 안국 방면 승강장),Alight (3Line  안국 Bound for 승강장),(B4) 3호선 안국 방면 승강장 하차
Subway Activity,🚉,B4,하차 (3호선 을지로 3가 방면 승강장),Alight (3Line  을지로 3가 Bound for 승강장),(B4) 3호선 을지로 3가 방면 승강장 하차
Subway Activity,🚉,B4,하차 (3호선 을지로3가 방면 승강장),Alight (3Line  을지로3가 Bound for 승강장),(B4) 3호선 을지로3가 방면 승강장 하차
Subway Activity,🚉,B4,하차 (5호선 동대문사문화공원 방면 승강장),Alight (5Line  동대문사문화공원 Bound for 승강장),(B4) 5호선 동대문역사문화공원 방면 승강장 하차
Subway Activity,🚉,B4,하차 (5호선 신금호 방면 승강장),Alight (5Line  신금호 Bound for 승강장),(B4) 5호선 신금호 방면 승강장 하차
Subway Activity,🚉,B4,하차 (6호선 녹사평 방면 승강장),Alight (6Line  녹사평 Bound for 승강장),(B4) 6호선 녹사평 방면 승강장 하차
Subway Activity,🚉,B4,하차 (6호선 독바위 방면 승강장),Alight (6Line  독바위 Bound for 승강장),(B4) 6호선 독바위 방면 승강장 하차
Subway Activity,🚉,B4,하차 (6호선 망원 방면 승강장),Alight (6Line  망원 Bound for 승강장),(B4) 6호선 망원 방면 승강장 하차
Subway Activity,🚉,B4,하차 (6호선 상수 방면 승강장),Alight (6Line  상수 Bound for 승강장),(B4) 6호선 상수 방면 승강장 하차
Subway Activity,🚉,B4,하차 (6호선 효창공원앞 방면 승강장),Alight (6Line  효창공원앞 Bound for 승강장),(B4) 6호선 효창공원앞 방면 승강장 하차
Subway Activity,🚉,B4,하차 (7호선 남구로 방면 승강장),Alight (7Line  남구로 Bound for 승강장),(B4) 7호선 남구로 방면 승강장 하차
Subway Activity,🚉,B4,하차 (7호선 남성 방면 승강장),Alight (7Line  남성 Bound for 승강장),(B4) 7호선 남성 방면 승강장 하차
Subway Activity,🚉,B4,하차 (7호선 내방 방면 승강장),Alight (7Line  내방 Bound for 승강장),(B4) 7호선 내방 방면 승강장 하차
Subway Activity,🚉,B4,하차 (7호선 철산 방면 승강장),Alight (7Line  철산 Bound for 승강장),(B4) 7호선 철산 방면 승강장 하차
Subway Activity,🚉,B4,하차 (공항철도 계양 방면 승강장),Alight (공항철도 계양 Bound for 승강장),(B4) 공항철도 계양 방면 승강장 하차
Subway Activity,🚉,B4,하차 (공항철도 공덕 방면 승강장),Alight (공항철도 공덕 Bound for 승강장),(B4) 공항철도 공덕 방면 승강장 하차
Subway Activity,🚉,B4,하차 (공항철도 디지털미디어시티 방면 승강장),Alight (공항철도 디지털미디어시티 Bound for 승강장),(B4) 공항철도 디지털미디어시티 방면 승강장 하차
